"ID (company, number)",Color,L,A,B,C,M,Y,K,R,G,B,Marking,Missing,Group
B28,,73.59,17.41,3.62,14,36,21,0,215,170,175,12 3/4,,7
B29,,70.96,27.14,0.53,10,45,16,0,221,156,174,12 1/2,,7
B30,,69.43,27.38,2.32,12,47,19,0,218,151,166,12,,7
B31,,60.3,40.14,1.99,15,66,25,0,211,116,143,31,,7
B32,,54.56,52.46,2.52,14,80,28,0,212,88,128,31 1/2,,7
B33,,41.06,54.33,-12.03,35,95,25,2,168,50,118,119,,7
B34,,64.24,2.75,-13.19,44,35,18,0,149,155,179,21,,7
B35,,59.17,7.48,-17.91,49,43,15,0,140,139,174,94,,7
B36,,30.94,12.88,-24.2,81,80,31,17,72,68,111,37,,7
B37,,17.01,-0.53,-0.3,72,64,64,67,41,42,42,F. B.,,8
B38,,46.81,43.81,33.26,20,83,85,9,186,75,57,45,,8
B39,,45.58,34.69,11.61,29,76,56,12,165,83,90,140,,8
B40,,38.92,31.23,5.63,37,79,54,22,140,70,84,11,,8
B41,,42.42,18.42,2.72,44,67,49,19,131,89,96,69,,8
B42,,32.43,17.31,-1.29,52,73,51,34,101,66,79,11 1/2,,8
B43,,62.28,-5.39,-6.46,51,32,31,1,134,154,162,97,,8
B44,,50.53,-10.45,-18.01,74,41,30,3,76,127,150,98,,8
B45,,43.32,-6.72,-17.83,78,51,34,10,68,107,131,99,,8
B46,,82.66,1.4,8.78,15,16,24,0,215,204,189,9,,8
B47,,85.1,1.67,9.21,12,14,21,0,223,211,195,59,,8
B48,,86.61,1.26,9.93,10,12,20,0,228,216,199,61,,8
B49,,87.84,0.72,13.68,8,11,23,0,232,219,194,14 1/2,,8
B50,,74.07,4.88,21.02,20,28,46,0,205,178,144,142,,8
B51,,75.18,4.65,21.19,19,27,45,0,208,181,146,35,,8
B52,,72.85,5.44,21.88,21,30,48,0,203,174,139,30 1/2,,8
B53,,61.78,7.33,23.8,30,41,62,4,176,144,108,30,,8
B54,,27.14,7.18,-14.72,78,75,43,33,64,61,87,141,,8
B55,,68.4,1.26,12.24,32,31,43,1,178,165,145,7,,9
B56,,58.88,-1.34,16.21,42,37,58,6,150,141,113,6,,9
