"ID (company, number)	",Card_Name,L_star,A_star,B_star,R,G,B
BD2,"Brown, Durrell & Co. 1910s",68.59,29.68,1.21,219,147,166
BD3,"Brown, Durrell & Co. 1910s",40.98,-12.32,10.35,82,102,79
BD4,"Brown, Durrell & Co. 1910s",46.81,35.13,9.76,169,86,96
BD5,"Brown, Durrell & Co. 1910s",46.49,8.33,-23.33,103,107,149
BD6,"Brown, Durrell & Co. 1910s",21.63,-0.08,-0.5,51,52,53
BD7,"Brown, Durrell & Co. 1910s",71.58,-10.19,-11.12,142,182,195
BD8,"Brown, Durrell & Co. 1910s",21.22,-0.43,-10.54,41,52,66
BD9,"Brown, Durrell & Co. 1910s",53.74,12.78,19.77,161,120,95
BD10,"Brown, Durrell & Co. 1910s",36.67,12.92,17.26,114,78,59
BD11,"Brown, Durrell & Co. 1910s",37.11,11.4,17.06,113,80,60
BD12,"Brown, Durrell & Co. 1910s",27.94,14.31,10.78,92,57,50
BD13,"Brown, Durrell & Co. 1910s",38.82,-13.28,12.41,77,97,71
BD14,"Brown, Durrell & Co. 1910s",33.09,-10.8,6.51,64,82,67
BD15,"Brown, Durrell & Co. 1910s",33.77,-7.82,5.55,70,83,70
BD16,"Brown, Durrell & Co. 1910s",29.54,-6.65,5.61,62,72,61
BD17,"Brown, Durrell & Co. 1910s",29.92,0.13,4.19,73,70,64
BD18,"Brown, Durrell & Co. 1910s",72.31,8.37,-4.74,189,173,186
BD19,"Brown, Durrell & Co. 1910s",61.58,12.31,-15.89,158,143,177
BD20,"Brown, Durrell & Co. 1910s",51.31,18.43,-20.28,138,113,157
BD21,"Brown, Durrell & Co. 1910s",33.07,26.5,-19.34,104,63,109
BD22,"Brown, Durrell & Co. 1910s",35.52,19.51,-14.82,96,66,100
BD23,"Brown, Durrell & Co. 1910s",70.87,1.15,2.84,178,173,168
BD24,"Brown, Durrell & Co. 1910s",58.78,1.69,3.19,147,140,136
BD25,"Brown, Durrell & Co. 1910s",58.2,0.27,0.14,141,140,140
BD26,"Brown, Durrell & Co. 1910s",49.55,-0.92,-4.35,112,119,125
BD27,"Brown, Durrell & Co. 1910s",61.98,-22.98,23.02,122,160,108
BD28,"Brown, Durrell & Co. 1910s",57.67,-18.27,14.71,115,147,112
BD29,"Brown, Durrell & Co. 1910s",39.38,-26.37,4.18,35,104,85
BD30,"Brown, Durrell & Co. 1910s",37.87,8.82,20.46,113,83,56
BD31,"Brown, Durrell & Co. 1910s",36.09,10.84,12.92,108,78,65
BD32,"Brown, Durrell & Co. 1910s",29.08,3.46,-24.96,46,69,107
BD33,"Brown, Durrell & Co. 1910s",23.75,2.02,-13.91,47,57,77
BD34,"Brown, Durrell & Co. 1910s",19.25,1.11,-6.3,44,47,56
BD35,"Brown, Durrell & Co. 1910s",73.21,2.1,13.56,194,178,155
BD36,"Brown, Durrell & Co. 1910s",73.59,17.41,3.62,215,170,175
BD37,"Brown, Durrell & Co. 1910s",70.96,27.14,0.53,221,156,174
BD38,"Brown, Durrell & Co. 1910s",69.43,27.38,2.32,218,151,166
BD39,"Brown, Durrell & Co. 1910s",60.3,40.14,1.99,211,116,143
BD40,"Brown, Durrell & Co. 1910s",54.56,52.46,2.52,212,88,128
BD41,"Brown, Durrell & Co. 1910s",41.06,54.33,-12.03,168,50,118
BD42,"Brown, Durrell & Co. 1910s",64.24,2.75,-13.19,149,155,179
BD43,"Brown, Durrell & Co. 1910s",59.17,7.48,-17.91,140,139,174
BD44,"Brown, Durrell & Co. 1910s",30.94,12.88,-24.2,72,68,111
BD45,"Brown, Durrell & Co. 1910s",17.01,-0.53,-0.3,41,42,42
BD46,"Brown, Durrell & Co. 1910s",46.81,43.81,33.26,186,75,57
BD47,"Brown, Durrell & Co. 1910s",45.58,34.69,11.61,165,83,90
BD48,"Brown, Durrell & Co. 1910s",38.92,31.23,5.63,140,70,84
BD49,"Brown, Durrell & Co. 1910s",42.42,18.42,2.72,131,89,96
BD50,"Brown, Durrell & Co. 1910s",32.43,17.31,-1.29,101,66,79
BD51,"Brown, Durrell & Co. 1910s",62.28,-5.39,-6.46,134,154,162
BD52,"Brown, Durrell & Co. 1910s",50.53,-10.45,-18.01,76,127,150
BD53,"Brown, Durrell & Co. 1910s",43.32,-6.72,-17.83,68,107,131
BD54,"Brown, Durrell & Co. 1910s",82.66,1.4,8.78,215,204,189
BD55,"Brown, Durrell & Co. 1910s",85.1,1.67,9.21,223,211,195
BD56,"Brown, Durrell & Co. 1910s",86.61,1.26,9.93,228,216,199
BD57,"Brown, Durrell & Co. 1910s",87.84,0.72,13.68,232,219,194
BD58,"Brown, Durrell & Co. 1910s",74.07,4.88,21.02,205,178,144
BD59,"Brown, Durrell & Co. 1910s",75.18,4.65,21.19,208,181,146
BD60,"Brown, Durrell & Co. 1910s",72.85,5.44,21.88,203,174,139
BD61,"Brown, Durrell & Co. 1910s",61.78,7.33,23.8,176,144,108
BD62,"Brown, Durrell & Co. 1910s",27.14,7.18,-14.72,64,61,87
BD63,"Brown, Durrell & Co. 1910s",68.4,1.26,12.24,178,165,145
