"ID (company, number)	",Card_Name,L_star,A_star,B_star,R,G,B
RSS57,Real Silk Summer 1925,44.9,-25.1,3.9,54,118,99
RSS58,Real Silk Summer 1925,63.5,20.8,44.3,203,139,74
RSS59,Real Silk Summer 1925,40.4,14.5,23.1,126,86,58
RSS60,Real Silk Summer 1925,46.6,24.9,65.2,136,103,84
RSS61,Real Silk Summer 1925,39.1,35.9,-22.8,149,65,57
RSS62,Real Silk Summer 1925,48.1,53.8,20,197,66,84
RSS63,Real Silk Summer 1925,48.1,53.8,20,197,66,84
RSS64,Real Silk Summer 1925,29.5,-1.8,-3.3,64,70,74
RSS65,Real Silk Summer 1925,0,0,0,0,0,0
RSS66,Real Silk Summer 1925,47.7,0.7,11.9,120,112,84
RSS67,Real Silk Summer 1925,40.6,23.6,233.3,45,103,126
RSS68,Real Silk Summer 1925,57.9,9.2,24.5,165,133,84
RSS69,Real Silk Summer 1925,63.8,9.2,24.3,181,148,84
RSS70,Real Silk Summer 1925,43.6,7.3,13,121,98,82
RSS71,Real Silk Summer 1925,57.9,9.2,24.5,165,133,84
RSS72,Real Silk Summer 1925,54.5,27.7,-10,174,112,133
RSS73,Real Silk Summer 1925,60.9,-16.9,-8.4,106,156,161
RSS74,Real Silk Summer 1925,39.5,12.8,-8.3,109,86,107
RSS75,Real Silk Summer 1925,4708,1605,22.7,148,102,76
RSS76,Real Silk Summer 1925,62.2,10.6,66.6,163,147,133
RSS77,Real Silk Summer 1925,51.7,0.03,7.5,128,123,110
RSS78,Real Silk Summer 1925,45.4,-23.1,-3.6,52,118,84
RSS79,Real Silk Summer 1925,62.2,10.6,66.6,163,147,133
RSS80,Real Silk Summer 1925,60.9,-16.9,-8.4,106,156,161
RSS81,Real Silk Summer 1925,60.9,-16.9,-8.4,106,156,161
RSS82,Real Silk Summer 1925,40.2,13,22.1,123,86,59
RSS83,Real Silk Summer 1925,32.8,9.4,13.2,96,71,57
RSS84,Real Silk Summer 1925,77.3,2,54.1,217,188,84
RSS85,Real Silk Summer 1925,49.4,25.3,39.1,155,104,84
RSS86,Real Silk Summer 1925,71.1,-7.1,22.4,173,177,133
RSS87,Real Silk Summer 1925,71.1,-7.1,22.4,173,177,133
RSS88,Real Silk Summer 1925,72.7,7.8,12.2,199,173,156
RSS89,Real Silk Summer 1925,100,0,0,255,255,255
RSS90,Real Silk Summer 1925,0,0,0,0,0,0
RSS91,Real Silk Summer 1925,64.2,17,4.5,187,145,148
RSS92,Real Silk Summer 1925,57.9,9.2,24.5,165,133,84
RSS93,Real Silk Summer 1925,79.2,14,78.2,209,194,171
RSS94,Real Silk Summer 1925,74.2,12.3,26.1,217,174,135
RSS95,Real Silk Summer 1925,49.4,25.3,39.1,155,104,84
RSS96,Real Silk Summer 1925,100,0,0,255,255,255
RSS97,Real Silk Summer 1925,0,0,0,0,0,0
RSS98,Real Silk Summer 1925,58.3,-19.8,15.4,111,150,112
RSS99,Real Silk Summer 1925,54.5,27.7,-10,174,112,133
RSS100,Real Silk Summer 1925,64.2,17,4.5,187,145,148
RSS101,Real Silk Summer 1925,64.2,17,4.5,187,145,148
RSS102,Real Silk Summer 1925,72.5,8.1,34.5,208,171,114
RSS103,Real Silk Summer 1925,52,-4.9,19.8,125,126,90
RSS104,Real Silk Summer 1925,72.5,8.1,34.5,208,171,114
RSS105,Real Silk Summer 1925,58.3,-19.8,15.4,111,150,112
RSS106,Real Silk Summer 1925,54.5,27.7,-10,174,112,133
RSS107,Real Silk Summer 1925,73.5,8.4,10,201,175,163
RSS108,Real Silk Summer 1925,73.9,12.1,25.5,215,173,135
RSS109,Real Silk Summer 1925,61,-4.2,30.7,154,148,92
RSS110,Real Silk Summer 1925,69.1,-9.3,17.5,161,173,136
RSS111,Real Silk Summer 1925,64.2,17,4.5,187,145,148
RSS112,Real Silk Summer 1925,58.3,-19.8,15.4,111,150,112
RSS113,Real Silk Summer 1925,69.1,-9.3,17.5,161,173,136
RSS114,Real Silk Summer 1925,72.9,7.8,34.1,208,173,116
RSS115,Real Silk Summer 1925,66.5,18.7,43,209,148,84
RSS116,Real Silk Summer 1925,54.5,27.7,-10,174,112,133
RSS117,Real Silk Summer 1925,72.9,7.8,34.1,208,173,116
RSS118,Real Silk Summer 1925,67.2,22.3,34.9,214,148,101
RSS119,Real Silk Summer 1925,66.1,22.3,43.6,213,144,82
RSS120,Real Silk Summer 1925,72.5,8.1,34.5,208,171,114
RSS121,Real Silk Summer 1925,65.4,2.7,14.7,171,157,133
RSS122,Real Silk Summer 1925,40.6,23.6,233.3,45,103,126
RSS123,Real Silk Summer 1925,69.1,-9.3,17.5,161,173,136
RSS124,Real Silk Summer 1925,40.6,23.6,233.3,45,103,126
RSS125,Real Silk Summer 1925,72.9,7.8,34.1,208,173,116
RSS126,Real Silk Summer 1925,73.5,79,11.1,201,175,161
RSS127,Real Silk Summer 1925,49.4,25.3,39.1,155,104,84
RSS128,Real Silk Summer 1925,66.1,22.3,43.6,213,144,82
RSS129,Real Silk Summer 1925,64.2,17,4.5,187,145,148
RSS130,Real Silk Summer 1925,61.2,19.9,8.9,185,135,133
RSS131,Real Silk Summer 1925,61.2,19.9,8.9,185,135,133
RSS132,Real Silk Summer 1925,72.9,7.8,34.1,208,173,116
RSS133,Real Silk Summer 1925,65.8,3,14.9,173,157,133
RSS134,Real Silk Summer 1925,60.9,-16.9,-8.4,106,156,161
RSS135,Real Silk Summer 1925,73.5,79,11.1,201,175,161
RSS136,Real Silk Summer 1925,72.8,9.8,36.9,212,171,111
RSS137,Real Silk Summer 1925,72.8,9.8,36.9,212,171,111
RSS138,Real Silk Summer 1925,74.4,7.1,33.8,211,177,121
RSS139,Real Silk Summer 1925,0,0,0,0,0,0
RSS140,Real Silk Summer 1925,40.6,23.6,233.3,45,103,126
RSS141,Real Silk Summer 1925,39.5,12.8,-8.3,109,86,107
RSS142,Real Silk Summer 1925,78.6,3,14.5,208,192,168
RSS143,Real Silk Summer 1925,73.3,7.7,11,175,160,
RSS144,Real Silk Summer 1925,72.5,28.7,64.7,211,169,131
RSS145,Real Silk Summer 1925,65.4,2.7,14.7,171,157,133
RSS146,Real Silk Summer 1925,48.1,53.8,20,197,66,84
RSS147,Real Silk Summer 1925,73.5,79,11.1,201,175,161
RS6-1,Real Silk 6th 1925,40,8.6,-6,105,90,104
RS6-2,Real Silk 6th 1925,60.3,5.2,15.7,162,142,118
RS6-3,Real Silk 6th 1925,51,15.3,30.5,157,111,69
RS6-4,Real Silk 6th 1925,44.2,8.5,15,125,99,80
RS6-5,Real Silk 6th 1925,51.3,-20.7,29.1,98,132,70
RS6-6,Real Silk 6th 1925,36.9,-0.05,13.3,92,87,65
RS6-7,Real Silk 6th 1925,45,-21.7,10.7,70,116,88
RS6-8,Real Silk 6th 1925,43.3,7.9,13.8,121,97,80
RS6-9,Real Silk 6th 1925,43.2,4.8,12.9,116,99,81
RS6-10,Real Silk 6th 1925,45.2,12.2,25.2,136,99,65
RS6-11,Real Silk 6th 1925,57.2,-3.6,-5.8,127,140,147
RS6-12,Real Silk 6th 1925,39.6,40,20,155,61,63
RS6-13,Real Silk 6th 1925,39.6,40,20,155,61,63
RS6-14,Real Silk 6th 1925,50.1,13.6,18.3,149,110,89
RS6-15,Real Silk 6th 1925,59.1,3,13.4,154,140,119
RS6-16,Real Silk 6th 1925,0,0,0,0,0,0
RS6-17,Real Silk 6th 1925,38.3,-15,1.4,62,97,87
RS6-18,Real Silk 6th 1925,55.2,15.2,20.2,166,122,98
RS6-19,Real Silk 6th 1925,58,17.8,40.2,182,127,68
RS6-20,Real Silk 6th 1925,75.8,9.3,18.9,213,180,152
RS6-21,Real Silk 6th 1925,50.8,15.7,27.9,156,110,74
RS6-22,Real Silk 6th 1925,29.7,6.6,4,82,66,64
RS6-23,Real Silk 6th 1925,54.9,-9.6,-8.4,106,137,145
RS6-24,Real Silk 6th 1925,49.4,-24.7,13.6,76,129,93
RS6-25,Real Silk 6th 1925,35.8,-22.3,4.6,40,94,76
RS6-26,Real Silk 6th 1925,62.7,14.5,25.4,187,142,107
RS6-27,Real Silk 6th 1925,41.2,4.7,12,110,94,78
RS6-28,Real Silk 6th 1925,42.8,9.4,19.2,124,95,70
RS6-29,Real Silk 6th 1925,41.4,26,14.8,142,80,75
RS6-30,Real Silk 6th 1925,34.5,16,12.1,109,71,63
RS6-31,Real Silk 6th 1925,36,-21.9,4.7,42,94,76
RS6-32,Real Silk 6th 1925,61,14,26.7,182,137,100
RS6-33,Real Silk 6th 1925,41.1,4.8,11.8,110,94,78
RS6-34,Real Silk 6th 1925,42.8,9.4,19.3,124,95,70
RS6-35,Real Silk 6th 1925,39.7,24.1,14.6,134,77,71
RS6-36,Real Silk 6th 1925,34.8,6.8,14,98,78,60
RS6-37,Real Silk 6th 1925,50,0.05,8.6,124,118,104
RS6-38,Real Silk 6th 1925,42.8,8.6,14.7,121,96,77
RS6-39,Real Silk 6th 1925,48.9,13,17.5,144,108,87
RS6-40,Real Silk 6th 1925,25.3,1.8,6.9,66,59,50
RS6-41,Real Silk 6th 1925,51.2,40.1,26.6,190,91,79
RS6-42,Real Silk 6th 1925,40.1,-22.1,6.3,53,104,83
RS6-43,Real Silk 6th 1925,38.7,36.2,16.2,147,64,67
RS6-44,Real Silk 6th 1925,63.5,-0.7,10.4,158,154,135
RS6-45,Real Silk 6th 1925,75.5,11.1,12.1,212,178,164
RS6-46,Real Silk 6th 1925,55.4,-0.8,3.6,133,133,126
RS6-47,Real Silk 6th 1925,47.7,-14.6,-2.7,82,120,117
RS6-48,Real Silk 6th 1925,36.8,-15,-24.7,5,95,126
RS6-49,Real Silk 6th 1925,36.8,-15,-24.7,5,95,126
RS6-50,Real Silk 6th 1925,63.6,15.4,24.7,191,143,111
RS6-51,Real Silk 6th 1925,59.5,22.7,20.8,189,128,108
RS6-52,Real Silk 6th 1925,38.1,20.2,20,126,76,58
RS6-53,Real Silk 6th 1925,52.2,-23.3,30.3,96,135,70
RS6-54,Real Silk 6th 1925,34.6,21,7,115,68,71
RS6-55,Real Silk 6th 1925,57.3,38.2,21.3,205,109,103
RS6-56,Real Silk 6th 1925,57.3,38.2,21.3,205,109,103
RS6-57,Real Silk 6th 1925,75,10.1,19.1,213,178,150
RS6-58,Real Silk 6th 1925,64.8,-1.5,10.5,160,158,138
RS6-59,Real Silk 6th 1925,50.7,-16.1,3.3,91,129,114
RS6-60,Real Silk 6th 1925,46.9,-10,-13.5,80,117,134
RS6-61,Real Silk 6th 1925,53.5,-11.1,-7.4,100,134,140
RS6-62,Real Silk 6th 1925,53.5,-11.1,-7.4,100,134,140
RS6-63,Real Silk 6th 1925,63.3,13.4,22.9,186,144,113
RS6-64,Real Silk 6th 1925,73.7,8.1,25.9,208,175,134
RS6-65,Real Silk 6th 1925,40.3,10.3,15.4,117,89,70
RS6-66,Real Silk 6th 1925,60,16.1,44.9,187,133,64
RS6-67,Real Silk 6th 1925,49.9,22.2,3.2,156,104,114
RS6-68,Real Silk 6th 1925,73.6,7.5,21.4,205,175,142
RS6-69,Real Silk 6th 1925,76.1,10.5,11.4,213,180,167
RS6-70,Real Silk 6th 1925,65.9,-0.7,9.8,164,160,143
RS6-71,Real Silk 6th 1925,50.4,12.7,32.2,152,111,65
RS6-72,Real Silk 6th 1925,54.1,-9.3,28.5,126,133,79
RS6-73,Real Silk 6th 1925,50.9,45.6,20.9,195,84,89
RS6-74,Real Silk 6th 1925,75.3,10.7,12.2,211,178,163
RS6-75,Real Silk 6th 1925,64.5,5.6,15.2,174,152,129
RS6-76,Real Silk 6th 1925,55.7,8.3,10.7,153,128,115
RS6-77,Real Silk 6th 1925,63.9,0.2,27.9,168,154,105
RS6-78,Real Silk 6th 1925,44.5,-22.5,12.8,69,115,83
RS6-79,Real Silk 6th 1925,56,36.2,20.6,198,107,101
RS6-80,Real Silk 6th 1925,74.8,11.3,17.8,214,176,152
RS6-81,Real Silk 6th 1925,74.9,12,11,212,176,165
RS6-82,Real Silk 6th 1925,65.1,-0.6,9.1,162,158,142
RS6-83,Real Silk 6th 1925,43.8,-7.4,5.5,93,107,94
RS6-84,Real Silk 6th 1925,60.7,-7.3,38.2,150,149,76
RS6-85,Real Silk 6th 1925,61.7,-9,10.1,138,154,131
RS6-86,Real Silk 6th 1925,61.7,-9,10.1,138,154,131
RS6-87,Real Silk 6th 1925,72,11.6,38.6,213,168,106
RS6-88,Real Silk 6th 1925,64.3,6.2,16.8,175,151,126
RS6-89,Real Silk 6th 1925,52.8,-4.4,37.2,134,127,59
RS6-90,Real Silk 6th 1925,43,12,15.1,127,94,77
RS6-91,Real Silk 6th 1925,51.4,-17.6,-18,64,132,152
RS6-92,Real Silk 6th 1925,58.8,-2.5,12.1,144,142,120
RS6-93,Real Silk 6th 1925,46.7,13.7,15.3,139,102,86
RS6-94,Real Silk 6th 1925,48,17.1,29.8,151,102,64
RS6-95,Real Silk 6th 1925,42.9,24.7,9.3,142,85,87
RS6-96,Real Silk 6th 1925,63.5,25.5,49,211,135,65
RS6-97,Real Silk 6th 1925,56.3,38.5,22.7,202,106,98
RS6-98,Real Silk 6th 1925,61.1,30.8,39.2,210,125,79
RS6-99,Real Silk 6th 1925,73.6,11.8,17.9,211,173,149
RS6-100,Real Silk 6th 1925,58.4,13.8,89.7,148,140,116
RS6-101,Real Silk 6th 1925,51.4,-0.8,15.6,129,122,96
RS6-102,Real Silk 6th 1925,51.4,-17.6,-18,64,132,152
RS7-1,Real Silk 7th 1926,42.1,4.6,-6.5,103,97,110
RS7-2,Real Silk 7th 1926,54.7,2.9,13.7,143,129,107
RS7-3,Real Silk 7th 1926,53.1,15.4,29.5,163,116,76
RS7-4,Real Silk 7th 1926,40.1,7.8,13.7,113,90,73
RS7-5,Real Silk 7th 1926,57.6,-9.2,8.1,126,143,124
RS7-6,Real Silk 7th 1926,39.7,9.5,11.7,114,88,75
RS7-7,Real Silk 7th 1926,46,-20.1,11.9,77,118,88
RS7-8,Real Silk 7th 1926,40.1,7.8,13.7,113,90,73
RS7-9,Real Silk 7th 1926,39.7,9.5,11.7,114,88,75
RS7-10,Real Silk 7th 1926,44.5,13.7,22.6,135,96,68
RS7-11,Real Silk 7th 1926,52.2,-7.5,-9.2,103,129,140
RS7-12,Real Silk 7th 1926,52.6,42.3,16.1,195,93,101
RS7-13,Real Silk 7th 1926,38.1,36.2,15.7,145,62,66
RS7-14,Real Silk 7th 1926,53.2,12.9,16.4,156,119,100
RS7-15,Real Silk 7th 1926,54.3,2,12.4,140,128,108
RS7-16,Real Silk 7th 1926,29.2,1.4,1.8,72,68,66
RS7-17,Real Silk 7th 1926,51.6,-15.6,-5.7,87,131,132
RS7-18,Real Silk 7th 1926,53.2,12.9,16.4,156,119,100
RS7-19,Real Silk 7th 1926,60.6,15.8,38.5,187,135,78
RS7-20,Real Silk 7th 1926,72.4,6.5,24.3,201,173,133
RS7-21,Real Silk 7th 1926,53.1,15.4,29.5,163,116,76
RS7-22,Real Silk 7th 1926,29.3,4.7,4.3,78,66,63
RS7-23,Real Silk 7th 1926,47.4,-5.4,-14.3,91,116,136
RS7-24,Real Silk 7th 1926,57.6,-9.2,8.1,126,143,124
RS7-25,Real Silk 7th 1926,37.3,-19,5.3,54,96,78
RS7-26,Real Silk 7th 1926,62.3,10.6,25.6,180,143,106
RS7-27,Real Silk 7th 1926,39.7,9.5,11.7,114,88,75
RS7-28,Real Silk 7th 1926,43.4,9.8,19.6,126,96,70
RS7-29,Real Silk 7th 1926,38.2,19.1,18.4,125,77,61
RS7-30,Real Silk 7th 1926,43.4,9.8,19.6,126,96,70
RS7-31,Real Silk 7th 1926,46.9,-0.7,9.7,115,111,95
RS7-32,Real Silk 7th 1926,40.1,7.8,13.7,113,90,73
RS7-33,Real Silk 7th 1926,53.2,12.9,16.4,156,119,100
RS7-34,Real Silk 7th 1926,28.3,2.9,6.6,74,65,57
RS7-35,Real Silk 7th 1926,58.8,34.8,19.9,204,116,109
RS7-36,Real Silk 7th 1926,51.6,-15.6,-5.7,87,131,132
RS7-37,Real Silk 7th 1926,41.6,27.5,10.8,143,79,82
RS7-38,Real Silk 7th 1926,53.6,1.1,9.2,135,127,112
RS7-39,Real Silk 7th 1926,75.3,9.5,10.8,209,179,166
RS7-40,Real Silk 7th 1926,43.4,-0.2,-1.9,101,103,106
RS7-41,Real Silk 7th 1926,51.6,-15.6,-5.7,87,131,132
RS7-42,Real Silk 7th 1926,32.9,-12.4,-15,36,84,101
RS7-43,Real Silk 7th 1926,32.9,-12.4,-15,36,84,101
RS7-44,Real Silk 7th 1926,62.3,10.6,25.6,180,143,106
RS7-45,Real Silk 7th 1926,59,18.8,20.1,182,129,108
RS7-46,Real Silk 7th 1926,38.2,19.1,18.4,125,77,61
RS7-47,Real Silk 7th 1926,57.6,-9.2,8.1,126,143,124
RS7-48,Real Silk 7th 1926,38.2,19.1,18.4,125,77,61
RS7-49,Real Silk 7th 1926,58.8,34.8,19.9,204,116,109
RS7-50,Real Silk 7th 1926,58.8,34.8,19.9,204,116,109
RS7-51,Real Silk 7th 1926,72.4,6.5,24.3,201,173,133
RS7-52,Real Silk 7th 1926,53.6,1.1,9.2,135,127,112
RS7-53,Real Silk 7th 1926,47.4,-5.4,-14.3,91,116,136
RS7-54,Real Silk 7th 1926,53.9,-18.9,-16,70,139,156
RS7-55,Real Silk 7th 1926,51.6,-15.6,-5.7,87,131,132
RS7-56,Real Silk 7th 1926,51.6,-15.6,-5.7,87,131,132
RS7-57,Real Silk 7th 1926,62.3,10.6,25.6,180,143,106
RS7-58,Real Silk 7th 1926,62.9,2.1,22.5,167,150,112
RS7-59,Real Silk 7th 1926,58.8,34.8,19.9,204,116,109
RS7-60,Real Silk 7th 1926,60.6,15.8,38.5,187,135,78
RS7-61,Real Silk 7th 1926,49.8,18.4,-1.2,148,107,121
RS7-62,Real Silk 7th 1926,62.9,2.1,22.5,167,150,112
RS7-63,Real Silk 7th 1926,75.3,9.5,10.8,209,179,166
RS7-64,Real Silk 7th 1926,53.6,1.1,9.2,135,127,112
RS7-65,Real Silk 7th 1926,60.6,15.8,38.5,187,135,78
RS7-66,Real Silk 7th 1926,66.6,-11.9,34,157,167,99
RS7-67,Real Silk 7th 1926,52.6,42.3,16.1,195,93,101
RS7-68,Real Silk 7th 1926,75.3,9.5,10.8,209,179,166
RS7-69,Real Silk 7th 1926,60.5,3,17.4,160,143,115
RS7-70,Real Silk 7th 1926,49.8,4.3,11.9,132,116,99
RS7-71,Real Silk 7th 1926,75.3,9.5,10.8,209,179,166
RS7-72,Real Silk 7th 1926,57.6,-9.2,8.1,126,143,124
RS7-73,Real Silk 7th 1926,57.1,31.7,21,195,114,102
RS7-74,Real Silk 7th 1926,72.4,6.5,24.3,201,173,133
RS7-75,Real Silk 7th 1926,75.3,9.5,10.8,209,179,166
RS7-76,Real Silk 7th 1926,53.6,1.1,9.2,135,127,112
RS7-77,Real Silk 7th 1926,47.4,-5.4,-14.3,91,116,136
RS7-78,Real Silk 7th 1926,67.5,-4,38.6,175,165,93
RS7-79,Real Silk 7th 1926,57.6,-9.2,8.1,126,143,124
RS7-80,Real Silk 7th 1926,57.6,-9.2,8.1,126,143,124
RS7-81,Real Silk 7th 1926,73.3,8.2,44.5,213,173,97
RS7-82,Real Silk 7th 1926,60.5,3,17.4,160,143,115
RS7-83,Real Silk 7th 1926,72.4,6.5,24.3,201,173,133
RS7-84,Real Silk 7th 1926,59,18.8,20.1,182,129,108
RS7-85,Real Silk 7th 1926,53.9,-18.9,-16,70,139,156
RS7-86,Real Silk 7th 1926,53.6,1.1,9.2,135,127,112
RS7-87,Real Silk 7th 1926,53.2,12.9,16.4,156,119,100
RS7-88,Real Silk 7th 1926,44.5,13.7,22.6,135,96,68
RS7-89,Real Silk 7th 1926,58.8,34.8,19.9,204,116,109
RS7-90,Real Silk 7th 1926,60.6,15.8,38.5,187,135,78
RS7-91,Real Silk 7th 1926,58.7,34.4,23.9,204,116,101
RS7-92,Real Silk 7th 1926,75.5,5.4,22.9,208,182,144
RS7-93,Real Silk 7th 1926,72.4,6.5,24.3,201,173,133
RS7-94,Real Silk 7th 1926,53.6,1.1,9.2,135,127,112
RS7-95,Real Silk 7th 1926,67.5,-4,38.6,175,165,93
RS7-96,Real Silk 7th 1926,53.9,-18.9,-16,70,139,156
RS8-1,Real Silk 8th 1926,30.7,10.7,2,89,68,70
RS8-2,Real Silk 8th 1926,35.9,16.8,7.8,113,74,73
RS8-3,Real Silk 8th 1926,56.4,16.6,19.6,171,124,102
RS8-4,Real Silk 8th 1926,47.5,4.6,12.5,126,110,92
RS8-5,Real Silk 8th 1926,48.8,-22.8,2.4,69,127,111
RS8-6,Real Silk 8th 1926,55,11.8,36,164,123,69
RS8-7,Real Silk 8th 1926,40.2,-18.9,8.3,63,103,80
RS8-8,Real Silk 8th 1926,57.6,20.9,18.9,180,124,107
RS8-9,Real Silk 8th 1926,42.1,9,9.4,118,94,84
RS8-10,Real Silk 8th 1926,39,10.9,17.1,115,85,64
RS8-11,Real Silk 8th 1926,45.5,17.6,13.4,141,96,86
RS8-12,Real Silk 8th 1926,43.3,6.9,-7.5,110,99,115
RS8-13,Real Silk 8th 1926,44.4,17,25.5,140,94,63
RS8-14,Real Silk 8th 1926,52.9,12.3,34.2,159,118,67
RS8-15,Real Silk 8th 1926,59,12.5,17.8,171,134,111
RS8-16,Real Silk 8th 1926,40.6,17,21.6,129,85,61
RS8-17,Real Silk 8th 1926,44.5,-5,-13.1,86,108,127
RS8-18,Real Silk 8th 1926,48.8,-13.6,14.4,99,122,91
RS8-19,Real Silk 8th 1926,40.5,-9.2,-9,71,100,110
RS8-20,Real Silk 8th 1926,55.2,19.4,26.2,173,119,88
RS8-21,Real Silk 8th 1926,49.4,13,19.8,147,109,85
RS8-22,Real Silk 8th 1926,37.5,25.9,7,128,71,78
RS8-23,Real Silk 8th 1926,48.6,37,14.2,176,88,94
RS8-24,Real Silk 8th 1926,37.3,11.4,20.3,113,81,56
RS8-25,Real Silk 8th 1926,32.1,20.1,11.3,108,63,59
RS8-26,Real Silk 8th 1926,59.3,12.9,26.9,176,134,96
RS8-27,Real Silk 8th 1926,53,23.6,20.7,172,110,92
RS8-28,Real Silk 8th 1926,44.9,19.8,27.6,146,93,61
RS8-29,Real Silk 8th 1926,59.3,12.9,26.9,176,134,96
RS8-30,Real Silk 8th 1926,40.5,-9.2,-9,71,100,110
RS8-31,Real Silk 8th 1926,34.9,-0.8,3.5,83,82,76
RS8-32,Real Silk 8th 1926,42.6,3.4,10.7,111,98,83
RS8-33,Real Silk 8th 1926,50.7,11.5,17.7,147,113,91
RS8-34,Real Silk 8th 1926,32.7,-3.9,4.9,73,79,69
RS8-35,Real Silk 8th 1926,44.5,27.8,16.3,153,86,80
RS8-36,Real Silk 8th 1926,36.9,-14,7.6,66,93,74
RS8-37,Real Silk 8th 1926,32.6,27.1,5.7,117,58,69
RS8-38,Real Silk 8th 1926,45,12,16.2,132,99,80
RS8-39,Real Silk 8th 1926,49.8,8.7,6.5,136,113,108
RS8-40,Real Silk 8th 1926,42.1,5.7,7.2,112,96,88
RS8-41,Real Silk 8th 1926,40.1,-9.8,-10.9,67,100,112
RS8-42,Real Silk 8th 1926,38.9,8.7,7.5,109,86,80
RS8-43,Real Silk 8th 1926,29.3,12.2,5.1,89,62,62
RS8-44,Real Silk 8th 1926,48.4,20,13.8,152,102,93
RS8-45,Real Silk 8th 1926,54.1,12.2,8.9,154,122,115
RS8-46,Real Silk 8th 1926,33,-3.3,2.6,73,79,73
RS8-47,Real Silk 8th 1926,40.4,2.4,7.6,95,94,108
RS8-48,Real Silk 8th 1926,49.4,-18.7,20.3,94,126,82
RS8-49,Real Silk 8th 1926,73.8,6,60.2,215,176,63
RS8-50,Real Silk 8th 1926,62,8.4,18.1,173,144,118
RS8-51,Real Silk 8th 1926,72.2,9.7,17.8,203,170,145
RS8-52,Real Silk 8th 1926,63.9,0.2,8.9,160,154,139
RS8-53,Real Silk 8th 1926,51.8,17.8,17.9,159,112,94
RS8-54,Real Silk 8th 1926,39,4.2,-8.3,94,90,105
RS8-55,Real Silk 8th 1926,63.7,-14.7,20.6,138,161,117
RS8-56,Real Silk 8th 1926,54.5,11.7,11.1,155,123,112
RS8-57,Real Silk 8th 1926,53.3,14.9,16.5,159,118,100
RS8-58,Real Silk 8th 1926,42.5,4.3,7.9,111,98,88
RS8-59,Real Silk 8th 1926,57.2,3.5,21.2,153,135,100
RS8-60,Real Silk 8th 1926,46.7,28.5,2.4,155,91,108
RS8-61,Real Silk 8th 1926,68.8,12.6,6.3,194,160,157
RS8-62,Real Silk 8th 1926,61.8,1.6,5.6,155,148,140
RS8-63,Real Silk 8th 1926,74.7,9.5,16.9,210,177,153
RS8-64,Real Silk 8th 1926,53.2,16.6,11.5,159,116,108
RS8-65,Real Silk 8th 1926,49.8,23.9,19.9,163,102,86
RS8-66,Real Silk 8th 1926,62.8,-14.6,4,126,159,144
RS8-67,Real Silk 8th 1926,62.8,-14.6,4,126,159,144
RS8-68,Real Silk 8th 1926,59,5.6,21.4,162,138,105
RS8-69,Real Silk 8th 1926,56.8,21.3,27.5,181,122,89
RS8-70,Real Silk 8th 1926,48.3,10.3,31.1,142,108,62
RS8-71,Real Silk 8th 1926,39,4.2,-8.3,94,90,105
RS8-72,Real Silk 8th 1926,74.7,9.5,16.9,210,177,153
RS8-73,Real Silk 8th 1926,51.2,43.8,24.9,195,87,82
RS8-74,Real Silk 8th 1926,75.8,6.8,15.9,208,182,158
RS8-75,Real Silk 8th 1926,71.5,6.6,24.8,199,170,130
RS8-76,Real Silk 8th 1926,65,-0.1,9.9,163,157,140
RS8-77,Real Silk 8th 1926,71.5,6.6,24.8,199,170,130
RS8-78,Real Silk 8th 1926,62.8,-14.6,4,126,159,144
RS8-79,Real Silk 8th 1926,50.3,4.9,9.7,133,116,103
RS8-80,Real Silk 8th 1926,65,-0.1,9.9,163,157,140
RS8-81,Real Silk 8th 1926,75.8,6.8,15.9,208,182,158
RS8-82,Real Silk 8th 1926,45.6,2.6,7.1,116,106,96
RS8-83,Real Silk 8th 1926,51.8,17.8,17.9,159,112,94
RS8-84,Real Silk 8th 1926,39,4.2,-8.3,94,90,105
RS8-85,Real Silk 8th 1926,43.1,53.6,20.3,182,52,72
RS8-86,Real Silk 8th 1926,42.5,4.3,7.9,111,98,88
RS8-87,Real Silk 8th 1926,54.6,8,18,152,125,100
RS8-88,Real Silk 8th 1926,45.6,2.6,7.1,116,106,96
RS8-89,Real Silk 8th 1926,39,4.2,-8.3,94,90,105
RS8-90,Real Silk 8th 1926,38.4,-16.9,1,58,98,88
RS8-91,Real Silk 8th 1926,42.9,-11.7,-6.7,73,107,112
RS8-92,Real Silk 8th 1926,44.5,13.3,17.9,133,97,76
RS8-93,Real Silk 8th 1926,52.3,5,9.2,138,121,109
RS8-94,Real Silk 8th 1926,41.8,12.4,21,126,91,64
RS8-95,Real Silk 8th 1926,75.8,6.8,15.9,208,182,158
RS8-96,Real Silk 8th 1926,51.8,17.8,17.9,159,112,94
TCCA1,TCCA 1929,68.3,10.4,5.2,188,160,158
TCCA2,TCCA 1929,73.3,22.5,19.1,228,164,146
TCCA3,TCCA 1929,64.8,32.7,18.6,218,133,126
TCCA4,TCCA 1929,78.4,4,10.5,207,191,175
TCCA5,TCCA 1929,70.1,3.6,10.4,184,169,153
TCCA6,TCCA 1929,64.4,6.1,11.7,173,152,136
TCCA7,TCCA 1929,68.7,7.1,27.4,193,162,118
TCCA8,TCCA 1929,72.1,8.2,33,206,171,116
TCCA9,TCCA 1929,64.7,10.6,33.9,189,149,96
TCCA10,TCCA 1929,59.1,-3.2,3.2,138,144,137
